10-09-2015	git Version:  ad9e04a
id	name	defn	synonyms	is_a id	is_a name
PO:0001041	chalazal and micropylar domain establishment stage	The initial stage of endosperm development during which the chalazal and micropilar domains are established.		PO:0007633	endosperm development stage
PO:0001042	functional specialization of the endosperm stage	Stage of endosperm development during which the functional specialization of the maturing endosperm occurs.		PO:0007633	endosperm development stage
PO:0001044	sepal differentiation and expansion stage	Stage of calyx development defined by differentiation and expansion of sepal.		PO:0007603	calyx development stage
PO:0001045	fully expanded sepal stage	Stage of calyx development when sepal is fully expanded.		PO:0007603	calyx development stage
PO:0001047	lemma development stage	A phyllome development stage (PO:0025579) that has as a primary participant a lemma (PO:0009037).		PO:0025579	phyllome development stage
PO:0001048	palea development stage	A phyllome development stage (PO:0025579) that has as a primary participant a palea (PO:0009038).		PO:0025579	phyllome development stage
PO:0001049	lodicule development stage	A phyllome development stage (PO:0025579) that has as a primary participant a lodicule (PO:0009036).		PO:0025579	phyllome development stage
PO:0001050	leaf development stage	A phyllome development stage (PO:0025579) during which the development of vascular leaves (PO:0009025) and non-vascular leaves (PO:0025075) occurs.	leaf development in Arabidopsis RELATED	PO:0025579	phyllome development stage
PO:0001051	vascular leaf initiation stage	A vascular leaf development stage (PO:0025570) which begins with the onset of the vascular leaf anlagen formation stage (PO:0001003) and ends with the termination of the vascular leaf primordium polarity determination stage (PO:0001052).	leaf initiation in Arabidopsis RELATED	PO:0025570	vascular leaf development stage
PO:0001052	vascular leaf expansion stage	A vascular leaf development stage (PO:0025570) during which vascular leaf size increases primarily through cell expansion.	leaf expansion stage in Arabidopsis RELATED	PO:0025570	vascular leaf development stage
PO:0001053	vascular leaf post-expansion stage	A vascular leaf development stage (PO:0025570) that begins when the vascular leaf (PO:0009025) is fully expanded and ends with the onset of the vascular leaf senescence stage (PO:0001054).	fully expanded leaf stage in Arabidopsis RELATED	PO:0025570	vascular leaf development stage
PO:0001054	vascular leaf senescent stage	A vascular leaf development stage (PO:0025570) that begins with the formation of a abscission zone at the base of a vascular leaf (PO:0009025) and ends with leaf separation and death.	leaf senescence stage in Arabidopsis RELATED	PO:0025570	vascular leaf development stage
