3234979,305
3297999,355
3293893,347
3590680,512
3185175,292
3192359,294
3020771,128
3444432,401
3609178,527
3011661,120
3150504,264
3030644,147
3293771,340
3147085,261
3028442,134
3147080,260
3293292,333
3184921,284
3132610,255
3464416,423
3519233,464
3115551,223
3115550,222
2972236,81
3234965,304
2972231,79
3481658,440
3081059,186
3481654,439
3035688,158
3609161,526
3302899,364
3132534,240
3596114,518
3614109,542
3435050,394
3124791,229
2954382,63
3293311,336
3131997,230
3109542,211
2972241,82
2944945,59
3132600,251
3132602,252
3132539,243
3488337,446
3132609,254
3115540,220
3175301,276
2285839,41
2972200,77
3241767,311
3030032,140
3030033,141
3257959,318
3293886,345
3581197,511
3295058,351
3241737,309
3132547,245
3476730,435
3079725,171
3132542,244
3147109,262
3115545,221
2932524,56
3400245,381
3577380,506
3007368,104
2945268,60
3469817,426
3469811,425
3459279,407
3613876,540
3199622,300
3437888,396
3474979,428
3481662,442
3185093,287
3241827,315
3459318,412
3510272,460
3185097,288
3257963,319
3184905,283
3488347,447
3295055,349
2993809,99
3132537,241
3459178,406
3610120,533
3432979,
3132538,242
3483855,444
3293774,342
3132512,237
3080937,182
3530834,479
3185168,290
3476726,432
3151857,265
3610599,534
3609180,529
3357766,375
3437882,395
3357762,374
3293751,338
3523523,470
3324099,372
3234981,306
3595703,517
3091468,191
3080906,173
3286242,324
3522026,468
2972117,74
3016498,122
3147067,259
3177333,277
2972262,83
2972266,84
3293297,334
3132565,248
3132564,247
3132566,249
2813017,47
3524773,473
3028397,130
3611295,536
3611296,537
3272612,320
3577440,507
3592293,513
2988258,98
3016492,121
3080911,175
3405173,383
3458354,405
3293758,339
2972280,85
3298269,360
3234985,307
3610061,532
3132414,232
3132417,233
3234956,303
3107521,207
3192383,295
2980171,90
2997165,100
3293302,335
3112828,216
3496010,449
3534632,485
3195060,297
3519204,462
3438986,397
3115428,218
2932521,55
3166008,271
2982923,96
3525242,474
3008016,111
3481665,443
3005635,101
3005636,102
3005637,103
3459283,409
3295062,352
3241725,308
3459287,410
2903994,52
3140942,258
3241802,312
3140824,257
3293931,348
2972097,73
1766539,
3374186,377
3530843,480
3289531,326
3011081,119
3028469,135
3298006,357
3296935,353
3298004,356
3459338,416
3577355,504
3459336,415
3115430,219
3459331,413
3459332,
2971891,71
2972169,76
3195056,296
3008008,108
3357921,376
3185162,289
3241816,313
3241820,314
3257063,317
3165981,267
2984557,97
2968332,68
2968330,67
3241747,310
3577359,505
3324058,371
3400282,382
3397632,380
3574905,502
3459306,411
3080941,183
3011076,117
2972224,78
3011073,116
3139280,256
3439006,398
3040048,159
